FS_sector_number,FS_sector_code,FS_sector_name,FS_MAGNET_sector_number,FS_MAGNET_sector_name,FS_MAGNET_sector_name2,FS_MAGNET_sector_description,GTAP_sector_code,Category,GTAP_sector_number,GTAP_sector_description,cer,food,crp,agr,sec,lsp,primfood,anml,tot,sec_M,tot_M,lspfsh
1,RICE,Rice inc paddy,1,pdr,pdr,Paddy rice,pdr,GTAP,1,Paddy rice,CER,FOOD,CRP,AGR,RICE,,PRIMFOOD,,TOT,RICE_M,TOT_M,
2,WHT,Wheat,2,wht,wht,Wheat,wht,GTAP,2,Wheat,CER,FOOD,CRP,AGR,WHT,,PRIMFOOD,,TOT,,,
3,OCEREALS,Other cereal grains,3,gro,grains,Other cereal grains,gro,GTAP,3,Cereal grains nec,CER,FOOD,CRP,AGR,OCEREALS,,PRIMFOOD,,TOT,,,
6,VFN,"Vegetables, fruits, nuts",6,hort,hort,"Vegetables, fruits, nuts",v_f,GTAP,4,"Vegetables, fruit, nuts",,FOOD,CRP,AGR,VFN,,PRIMFOOD,,TOT,,,
4,OILSEEDS,Oil seeds,4,osd,oils,Oil seeds,osd,GTAP,5,Oil seeds,,FOOD,CRP,AGR,OILSEEDS,,PRIMFOOD,,TOT,,,
5,SUGAR,Sugar inc cane and beet,5,c_b,sug,"Sugar cane, sugar beet",c_b,GTAP,6,"Sugar cane, sugar beet",,FOOD,CRP,AGR,SUGAR,,PRIMFOOD,,TOT,SUGAR_M,TOT_M,
11,PFB,Pfb inc wol,11,oagr,oagr,Other agriculture,pfb,GTAP,7,Plant-based fibers,,,CRP,AGR,PFB,,,,TOT,,,
7,OCROPS,Other crops ,7,crops,crops,Other crops ,ocr,GTAP,8,Crops nec,,,CRP,AGR,OCROPS,,,,TOT,,,
8,RMEAT,Ruminant meats,8,ctl,cattle,"Cattle: sheep, goats, horses",ctl,GTAP,9,"Bovine cattle, sheep and goats, horses",,FOOD,LSP,AGR,RMEAT,LSP,PRIMFOOD,ANML,TOT,RMEAT_M,TOT_M,LSPFSH
9,NRMEAT,Non ruminant meats,9,oap,pigpoul,"Pigs, poultry, other live animals (incl. eggs)",oap,GTAP,10,Animal products nec,,FOOD,LSP,AGR,NRMEAT,,PRIMFOOD,ANML,TOT,NRMEAT_M,TOT_M,LSPFSH
10,DAIRY,Dairy inc raw milk,10,rmk,milk,Raw milk,rmk,GTAP,11,Raw milk,,FOOD,LSP,AGR,DAIRY,LSP,PRIMFOOD,ANML,TOT,DAIRY_M,TOT_M,LSPFSH
11,PFB,Pfb inc wol,11,oagr,oagr,Other agriculture,wol,GTAP,12,"Wool, silk-worm cocoons",,,CRP,AGR,PFB,,,,TOT,,,
19,IND,Industry,32,frs,frs,Forestry,frs,GTAP,13,Forestry,,,,,IND,,,,TOT,,,
12,FISH,Fish,12,fsh,fish,Fishing,fsh,GTAP,14,Fishing,,FOOD,,,FISH,,,ANML,TOT,,,LSPFSH
17,FOSFUEL,Fossil fuel,27,coa,coa,Coal,coa,GTAP,15,Coal,,,,,FOSFUEL,,,,TOT,,,
17,FOSFUEL,Fossil fuel,29,c_oil,oil,Crude oil,oil,GTAP,16,Oil,,,,,FOSFUEL,,,,TOT,,,
17,FOSFUEL,Fossil fuel,28,gas,gas,Gas,gas,GTAP,17,Gas,,,,,FOSFUEL,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,omn,GTAP,18,Minerals nec,,,,,IND,,,,TOT,,,
8,RMEAT,Ruminant meats,13,cmt,cmt,"Red meat products: cattle, sheep, goats, horse",cmt,GTAP,19,Bovine meat products,,FOOD,,,,,,,TOT,RMEAT_M,TOT_M,
9,NRMEAT,Non ruminant meats,14,omt,omt,White meat products: pigs and poultry,omt,GTAP,20,Meat products nec,,FOOD,,,,,,,TOT,NRMEAT_M,TOT_M,
13,VOL,Crude and ref veg oil,15,vol,vol,Vegetable oils (refined) and fats,vol,GTAP,21,Vegetable oils and fats,,FOOD,,,VOL,,,,TOT,,,
10,DAIRY,Dairy inc raw milk,16,mil,dairy,Dairy products,mil,GTAP,22,Dairy products,,FOOD,,,,,,,TOT,DAIRY_M,TOT_M,
1,RICE,Rice inc paddy,17,pcr,pcr,Processed rice,pcr,GTAP,23,Processed rice,CER,FOOD,,,,,,,TOT,RICE_M,TOT_M,
5,SUGAR,Sugar inc cane and beet,18,sugar,sugar,Sugar and molasses,sgr,GTAP,24,Sugar,,FOOD,,,,,,,TOT,SUGAR_M,TOT_M,
14,OFOOD,Other food inc bev & tob,19,pfd,ofd,Other food,ofd,GTAP,25,Food products nec,,FOOD,,,OFOOD,,,,TOT,,,
14,OFOOD,Other food inc bev & tob,20,pfd,bevtob,Beverages and tobacco,b_t,GTAP,26,Beverages and tobacco products,,,,,OFOOD,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,tex,GTAP,27,Textiles,,,,,IND,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,wap,GTAP,28,Wearing apparel,,,,,IND,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,lea,GTAP,29,Leather products,,,,,IND,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,lum,GTAP,30,Wood products,,,,,IND,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,ppp,GTAP,31,"Paper products, publishing",,,,,IND,,,,TOT,,,
17,FOSFUEL,Fossil fuel,31,petro,petrol,"Petroleum, coal products",p_c,GTAP,32,"Petroleum, coal products",,,,,FOSFUEL,,,,TOT,,,
19,IND,Industry,34,highind,highind,Other high tech industry,crp,GTAP,33,"Chemical, rubber, plastic products",,,,,IND,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,nmm,GTAP,34,Mineral products nec,,,,,IND,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,i_s,GTAP,35,Ferrous metals,,,,,IND,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,nfm,GTAP,36,Metals nec,,,,,IND,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,fmp,GTAP,37,Metal products,,,,,IND,,,,TOT,,,
19,IND,Industry,34,highind,highind,Other high tech industry,mvh,GTAP,38,Motor vehicles and parts,,,,,IND,,,,TOT,,,
19,IND,Industry,34,highind,highind,Other high tech industry,otn,GTAP,39,Transport equipment nec,,,,,IND,,,,TOT,,,
19,IND,Industry,34,highind,highind,Other high tech industry,ele,GTAP,40,Electronic equipment,,,,,IND,,,,TOT,,,
19,IND,Industry,34,highind,highind,Other high tech industry,ome,GTAP,41,Machinery and equipment nec,,,,,IND,,,,TOT,,,
19,IND,Industry,33,lowind,lowind,Other low tech industry,omf,GTAP,42,Manufactures nec,,,,,IND,,,,TOT,,,
20,SERV,Services,35,ely,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",ely,GTAP,43,Electricity,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,gdt,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",gdt,GTAP,44,"Gas manufacture, distribution",,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",wtr,GTAP,45,Water,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",cns,GTAP,46,Construction,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",trd,GTAP,47,Trade,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",otp,GTAP,48,Transport nec,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",wtp,GTAP,49,Water transport,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",atp,GTAP,50,Air transport,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",cmn,GTAP,51,Communication,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",ofi,GTAP,52,Financial services nec,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",isr,GTAP,53,Insurance,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",obs,GTAP,54,Business services nec,,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",ros,GTAP,55,Recreational and other services,,,,,SERV,,,,TOT,,,
20,SERV,Services,36,svcs,pub_ser,"Public services (admin, defence, health, education)",osg,GTAP,56,"Public Administration, Defense, Education, Health",,,,,SERV,,,,TOT,,,
20,SERV,Services,35,svcs,oth_ser,"Trade services (incl. wholesale, retail, hotels, rest.) Recreation and other services.",dwe,GTAP,57,Dwellings,,,,,SERV,,,,TOT,,,
15,ANFEED,Animal feed,26,ddgs,ddgs,Distiller’s dried grains with solubles,ddgs,MAGNET,,,,,,,,,,,TOT,,,
15,ANFEED,Animal feed,23,oilcake,oilcake,Oil cake,oilcake,MAGNET,,,,,,,,,,,TOT,,,
16,BIOEN,Bioenergy,24,biod,biod,Biodiesel,biod,MAGNET,,,,,,,,,,,TOT,,,
16,BIOEN,Bioenergy,25,biog,biog,Ethanol,biog,MAGNET,,,,,,,,,,,TOT,,,
13,VOL,Crude and ref veg oil,22,cvol,cvol,Crude vegetable oil,cvol,MAGNET,,,,,,,VOL,,,,TOT,,,
,,Don't report,21,feed,feed,Animal feed,feed,MAGNET,,,,,,,ANFEED,,,,TOT,,,
18,FERT,Fertilisers,30,fert_k,fert,Fertilisers,fert_k,MAGNET,,,,,,,FERT,,,,TOT,,,
18,FERT,Fertilisers,30,fert_n,fert,Fertilisers,fert_n,MAGNET,,,,,,,FERT,,,,TOT,,,
18,FERT,Fertilisers,30,fert_p,fert,Fertilisers,fert_p,MAGNET,,,,,,,FERT,,,,TOT,,,
14,OFOOD,Other food inc bev & tob,20,pfd,bevtob,Beverages and tobacco,coco,MAGNET,,,,,,,,,,,TOT,,,
5,SUGAR,Sugar inc cane and beet,18,sugar,sugar,Sugar and molasses,mola1,MAGNET,,,,,,,,,,,TOT,,,
